step training_loss training_accuracy
1152 0.415758 0.867188
1153 0.359098 0.878906
1154 0.418997 0.871094
1155 0.489635 0.835938
1156 0.475625 0.839844
1157 0.374058 0.878906
1158 0.514197 0.835938
1159 0.39434 0.863281
1160 0.410349 0.875
1161 0.3767 0.890625
1162 0.390298 0.902344
1163 0.40544 0.875
1164 0.392252 0.871094
1165 0.355464 0.902344
1166 0.395513 0.871094
1167 0.424205 0.863281
1168 0.460865 0.855469
1169 0.344895 0.875
1170 0.373012 0.878906
1171 0.465841 0.878906
1172 0.503669 0.847656
1173 0.402161 0.863281
1174 0.30619 0.898438
1175 0.447983 0.84375
1176 0.41305 0.871094
1177 0.441535 0.863281
1178 0.329609 0.898438
1179 0.428909 0.863281
1180 0.370477 0.878906
1181 0.449018 0.875
1182 0.352598 0.882812
1183 0.448953 0.847656
1184 0.448038 0.863281
1185 0.369112 0.882812
1186 0.407611 0.867188
1187 0.426627 0.882812
1188 0.393931 0.871094
1189 0.43648 0.871094
1190 0.381877 0.863281
1191 0.460853 0.867188
1192 0.34753 0.886719
1193 0.337179 0.886719
1194 0.344327 0.894531
1195 0.419179 0.871094
1196 0.497551 0.867188
1197 0.516706 0.835938
1198 0.385483 0.890625
1199 0.492418 0.855469
1200 0.405753 0.867188
1201 0.422423 0.851562
1202 0.510723 0.824219
1203 0.401052 0.875
1204 0.340129 0.914062
1205 0.329851 0.875
1206 0.366021 0.886719
1207 0.441423 0.859375
1208 0.343821 0.894531
1209 0.358818 0.894531
1210 0.368971 0.871094
1211 0.428113 0.871094
1212 0.391525 0.878906
1213 0.499892 0.855469
1214 0.333881 0.925781
1215 0.405368 0.875
1216 0.383968 0.878906
1217 0.475139 0.839844
1218 0.335136 0.886719
1219 0.416975 0.882812
1220 0.409514 0.882812
1221 0.484111 0.832031
1222 0.392764 0.863281
1223 0.452856 0.871094
1224 0.374601 0.890625
1225 0.442403 0.859375
1226 0.439117 0.871094
1227 0.427559 0.882812
1228 0.399708 0.863281
1229 0.509665 0.828125
1230 0.434312 0.871094
1231 0.414911 0.878906
1232 0.439999 0.871094
1233 0.406094 0.875
1234 0.421449 0.859375
1235 0.466819 0.847656
1236 0.445866 0.859375
1237 0.336131 0.871094
1238 0.37204 0.882812
1239 0.342694 0.921875
1240 0.407674 0.847656
1241 0.374042 0.890625
1242 0.509501 0.835938
1243 0.410961 0.863281
1244 0.458657 0.867188
1245 0.394687 0.875
1246 0.394961 0.886719
1247 0.457324 0.863281
1248 0.344312 0.902344
1249 0.491064 0.867188
1250 0.409107 0.882812
1251 0.37619 0.882812
1252 0.268352 0.925781
1253 0.379453 0.894531
1254 0.405483 0.867188
1255 0.335456 0.898438
1256 0.435991 0.898438
1257 0.383256 0.890625
1258 0.466993 0.882812
1259 0.412652 0.855469
1260 0.411708 0.882812
1261 0.353781 0.875
1262 0.406853 0.871094
1263 0.280077 0.917969
1264 0.391545 0.875
1265 0.403604 0.882812
1266 0.309109 0.910156
1267 0.339861 0.886719
1268 0.383655 0.863281
1269 0.318437 0.898438
1270 0.390328 0.867188
1271 0.345055 0.902344
1272 0.289092 0.925781
1273 0.297363 0.910156
1274 0.377199 0.878906
1275 0.406286 0.871094
1276 0.375073 0.863281
1277 0.348236 0.894531
1278 0.393862 0.894531
1279 0.368866 0.894531
1280 0.397612 0.894531
1281 0.369074 0.886719
1282 0.373412 0.890625
1283 0.371929 0.886719
1284 0.344927 0.882812
1285 0.443569 0.859375
1286 0.453259 0.859375
1287 0.415356 0.878906
1288 0.303232 0.921875
1289 0.444807 0.859375
1290 0.347542 0.902344
1291 0.428241 0.855469
1292 0.336001 0.878906
1293 0.336283 0.914062
1294 0.368667 0.890625
1295 0.287028 0.914062
1296 0.284581 0.90625
1297 0.378982 0.886719
1298 0.340325 0.914062
1299 0.480179 0.855469
1300 0.301411 0.917969
1301 0.516303 0.816406
1302 0.42731 0.875
1303 0.331674 0.882812
1304 0.43119 0.867188
1305 0.42687 0.875
1306 0.364925 0.871094
1307 0.473672 0.835938
1308 0.318729 0.902344
1309 0.333293 0.886719
1310 0.330628 0.894531
1311 0.461671 0.839844
1312 0.334873 0.886719
1313 0.325041 0.902344
1314 0.352574 0.882812
1315 0.424977 0.867188
1316 0.434484 0.851562
1317 0.35252 0.898438
1318 0.35528 0.890625
1319 0.369438 0.910156
1320 0.34701 0.882812
1321 0.375712 0.882812
1322 0.391171 0.871094
1323 0.378315 0.875
1324 0.407624 0.878906
1325 0.347573 0.898438
1326 0.335755 0.917969
1327 0.376854 0.894531
1328 0.451074 0.855469
1329 0.317216 0.910156
1330 0.315797 0.890625
1331 0.241183 0.933594
1332 0.426302 0.878906
1333 0.361244 0.886719
1334 0.354382 0.890625
1335 0.313392 0.910156
1336 0.352305 0.886719
1337 0.298759 0.925781
1338 0.422051 0.875
1339 0.352646 0.882812
1340 0.373231 0.882812
1341 0.259469 0.910156
1342 0.291465 0.898438
1343 0.367421 0.894531
1344 0.326708 0.917969
1345 0.459462 0.882812
1346 0.43748 0.878906
1347 0.313971 0.894531
1348 0.343468 0.882812
1349 0.24861 0.9375
1350 0.405235 0.875
1351 0.342558 0.882812
1352 0.376384 0.871094
1353 0.40328 0.871094
1354 0.310754 0.890625
1355 0.47892 0.832031
1356 0.466101 0.859375
1357 0.376265 0.875
1358 0.376702 0.878906
1359 0.522302 0.820312
1360 0.420894 0.867188
1361 0.391571 0.859375
1362 0.38005 0.871094
1363 0.354191 0.867188
1364 0.301194 0.90625
1365 0.417849 0.855469
1366 0.394263 0.867188
1367 0.325423 0.882812
1368 0.27773 0.902344
1369 0.313216 0.894531
1370 0.388503 0.886719
1371 0.370266 0.886719
1372 0.496131 0.851562
1373 0.352869 0.890625
1374 0.43235 0.878906
1375 0.459642 0.84375
1376 0.42406 0.855469
1377 0.469474 0.859375
1378 0.578448 0.8125
1379 0.427134 0.859375
1380 0.300369 0.902344
1381 0.318837 0.902344
1382 0.356086 0.882812
1383 0.312773 0.929688
1384 0.468116 0.84375
1385 0.352112 0.890625
1386 0.292305 0.914062
1387 0.603594 0.839844
1388 0.386944 0.875
1389 0.48196 0.851562
1390 0.361738 0.871094
1391 0.427205 0.863281
1392 0.400629 0.855469
1393 0.519009 0.851562
1394 0.308392 0.914062
1395 0.457548 0.851562
1396 0.382936 0.867188
1397 0.296009 0.898438
1398 0.428761 0.839844
1399 0.3519 0.894531
1400 0.454694 0.855469
1401 0.453986 0.878906
1402 0.422984 0.871094
1403 0.394627 0.875
1404 0.422046 0.859375
1405 0.326157 0.90625
1406 0.315436 0.890625
1407 0.458518 0.839844
1408 0.484496 0.867188
1409 0.436253 0.84375
1410 0.431541 0.871094
1411 0.401809 0.871094
1412 0.496618 0.835938
1413 0.284138 0.917969
1414 0.275035 0.910156
1415 0.505919 0.84375
1416 0.422824 0.871094
1417 0.270377 0.941406
1418 0.367315 0.878906
1419 0.487386 0.84375
1420 0.322026 0.886719
1421 0.320718 0.898438
1422 0.334091 0.902344
1423 0.284551 0.910156
1424 0.33407 0.878906
1425 0.436678 0.890625
1426 0.323025 0.902344
1427 0.348036 0.910156
1428 0.342766 0.875
1429 0.377813 0.890625
1430 0.412258 0.886719
1431 0.459085 0.878906
1432 0.428293 0.875
1433 0.291969 0.898438
1434 0.411997 0.882812
1435 0.361295 0.894531
1436 0.400281 0.867188
1437 0.384057 0.875
1438 0.331501 0.90625
1439 0.332437 0.898438
1440 0.308036 0.894531
1441 0.311748 0.902344
1442 0.328835 0.890625
1443 0.283506 0.925781
1444 0.335857 0.894531
1445 0.376563 0.867188
1446 0.291707 0.929688
1447 0.329536 0.886719
1448 0.368684 0.878906
1449 0.4567 0.875
1450 0.284996 0.914062
1451 0.398206 0.890625
1452 0.313534 0.898438
1453 0.274038 0.925781
1454 0.346815 0.894531
1455 0.283877 0.902344
1456 0.391003 0.898438
1457 0.330464 0.917969
1458 0.43105 0.859375
1459 0.342282 0.914062
1460 0.318689 0.90625
1461 0.329717 0.894531
1462 0.324922 0.90625
1463 0.225248 0.9375
1464 0.374811 0.886719
1465 0.330642 0.890625
1466 0.454573 0.855469
1467 0.400458 0.878906
1468 0.353399 0.894531
1469 0.409699 0.875
1470 0.408433 0.890625
1471 0.274487 0.910156
1472 0.397827 0.886719
1473 0.287512 0.921875
1474 0.357151 0.890625
1475 0.481 0.855469
1476 0.399192 0.878906
1477 0.334871 0.882812
1478 0.385847 0.890625
1479 0.408929 0.894531
1480 0.363034 0.894531
1481 0.359478 0.898438
1482 0.42876 0.871094
1483 0.348972 0.878906
1484 0.391616 0.871094
1485 0.378799 0.886719
1486 0.388302 0.871094
1487 0.405731 0.894531
1488 0.404423 0.855469
1489 0.409738 0.84375
1490 0.308135 0.917969
1491 0.380857 0.878906
1492 0.393481 0.886719
1493 0.333448 0.890625
1494 0.372706 0.894531
1495 0.44447 0.859375
1496 0.330979 0.902344
1497 0.36991 0.890625
1498 0.389771 0.875
1499 0.307106 0.894531
1500 0.400887 0.894531
1501 0.293201 0.90625
1502 0.38555 0.878906
1503 0.34683 0.882812
1504 0.364382 0.875
1505 0.402808 0.863281
1506 0.339051 0.871094
1507 0.292899 0.902344
1508 0.370758 0.871094
1509 0.292107 0.921875
1510 0.310325 0.910156
1511 0.411882 0.863281
1512 0.353121 0.875
1513 0.297552 0.910156
1514 0.426384 0.886719
1515 0.423323 0.863281
1516 0.253662 0.921875
1517 0.399188 0.882812
1518 0.362803 0.894531
1519 0.353683 0.878906
1520 0.443 0.875
1521 0.308168 0.894531
1522 0.371795 0.875
1523 0.404504 0.882812
1524 0.273206 0.933594
1525 0.261033 0.910156
1526 0.440721 0.851562
1527 0.352739 0.886719
1528 0.36115 0.894531
1529 0.280848 0.914062
1530 0.288515 0.914062
1531 0.42779 0.875
1532 0.440346 0.871094
1533 0.405165 0.894531
1534 0.331535 0.894531
1535 0.423843 0.859375
1536 0.304368 0.890625
1537 0.427398 0.859375
1538 0.474687 0.855469
1539 0.327817 0.910156
1540 0.463256 0.863281
1541 0.288958 0.921875
1542 0.37634 0.875
1543 0.331189 0.882812
1544 0.314996 0.898438
1545 0.240005 0.945312
1546 0.363109 0.886719
1547 0.31644 0.886719
1548 0.325078 0.878906
1549 0.431089 0.867188
1550 0.265342 0.933594
1551 0.354611 0.902344
1552 0.348004 0.875
1553 0.358584 0.894531
1554 0.422418 0.886719
1555 0.321147 0.902344
1556 0.308213 0.917969
1557 0.260982 0.917969
1558 0.402051 0.871094
1559 0.440427 0.863281
1560 0.283025 0.90625
1561 0.337658 0.90625
1562 0.271591 0.90625
1563 0.257892 0.925781
1564 0.443278 0.867188
1565 0.244131 0.914062
1566 0.333538 0.90625
1567 0.400935 0.875
1568 0.296275 0.914062
1569 0.338337 0.867188
1570 0.407185 0.882812
1571 0.338023 0.894531
1572 0.358817 0.867188
1573 0.368182 0.898438
1574 0.405318 0.875
1575 0.289754 0.890625
1576 0.386613 0.890625
1577 0.269859 0.90625
1578 0.424108 0.863281
1579 0.375808 0.886719
1580 0.316519 0.898438
1581 0.289231 0.933594
1582 0.357974 0.90625
1583 0.418181 0.867188
1584 0.439235 0.875
1585 0.323447 0.890625
1586 0.383828 0.898438
1587 0.310837 0.917969
1588 0.38395 0.886719
1589 0.438298 0.863281
1590 0.334634 0.898438
1591 0.522633 0.835938
1592 0.356456 0.875
1593 0.337472 0.898438
1594 0.298062 0.914062
1595 0.353446 0.886719
1596 0.299661 0.914062
1597 0.265351 0.921875
1598 0.31646 0.902344
1599 0.352777 0.894531
1600 0.358531 0.886719
1601 0.287815 0.921875
1602 0.369348 0.890625
1603 0.297896 0.929688
1604 0.371068 0.875
1605 0.332128 0.894531
1606 0.386988 0.882812
1607 0.322544 0.894531
1608 0.348777 0.90625
1609 0.378941 0.878906
1610 0.333365 0.898438
1611 0.269447 0.917969
1612 0.281698 0.917969
1613 0.367817 0.898438
1614 0.339308 0.890625
1615 0.368676 0.886719
1616 0.510048 0.835938
1617 0.306262 0.914062
1618 0.253683 0.925781
1619 0.272982 0.910156
1620 0.382211 0.871094
1621 0.425678 0.867188
1622 0.314241 0.902344
1623 0.242255 0.925781
1624 0.345049 0.898438
1625 0.373629 0.890625
1626 0.397668 0.871094
1627 0.399264 0.890625
1628 0.320537 0.90625
1629 0.361952 0.898438
1630 0.384511 0.875
1631 0.311655 0.90625
1632 0.330928 0.902344
1633 0.419055 0.867188
1634 0.333908 0.894531
1635 0.335728 0.890625
1636 0.294188 0.90625
1637 0.297988 0.894531
1638 0.322681 0.890625
1639 0.356003 0.886719
1640 0.434905 0.882812
1641 0.38095 0.871094
1642 0.339661 0.886719
1643 0.435896 0.867188
1644 0.345552 0.890625
1645 0.474276 0.890625
1646 0.358496 0.878906
1647 0.370536 0.882812
1648 0.318861 0.898438
1649 0.385371 0.886719
1650 0.384588 0.894531
1651 0.387684 0.894531
1652 0.435983 0.847656
1653 0.347221 0.90625
1654 0.479123 0.839844
1655 0.341188 0.917969
1656 0.407985 0.875
1657 0.387161 0.890625
1658 0.358766 0.90625
1659 0.307608 0.90625
1660 0.335231 0.886719
1661 0.330376 0.902344
1662 0.286726 0.890625
1663 0.399618 0.890625
1664 0.378021 0.894531
1665 0.301894 0.921875
1666 0.243826 0.9375
1667 0.230887 0.925781
1668 0.455324 0.855469
1669 0.379261 0.894531
1670 0.258194 0.917969
1671 0.336522 0.910156
1672 0.315962 0.898438
1673 0.359743 0.886719
1674 0.327963 0.898438
1675 0.430835 0.859375
1676 0.330916 0.894531
1677 0.279513 0.917969
1678 0.351128 0.90625
1679 0.285223 0.90625
1680 0.361462 0.886719
1681 0.298208 0.917969
1682 0.288394 0.902344
1683 0.269937 0.910156
1684 0.323292 0.894531
1685 0.272755 0.914062
1686 0.293901 0.914062
1687 0.309713 0.914062
1688 0.288827 0.90625
1689 0.381734 0.886719
1690 0.262014 0.925781
1691 0.247811 0.9375
1692 0.3682 0.917969
1693 0.342882 0.882812
1694 0.455179 0.882812
1695 0.327553 0.902344
1696 0.354582 0.886719
1697 0.466412 0.84375
1698 0.295564 0.90625
1699 0.400685 0.875
1700 0.395754 0.894531
1701 0.314536 0.910156
1702 0.413028 0.839844
1703 0.309361 0.890625
1704 0.316468 0.90625
1705 0.329848 0.894531
1706 0.312447 0.898438
1707 0.307387 0.90625
1708 0.233523 0.917969
1709 0.310008 0.90625
1710 0.268728 0.917969
1711 0.402174 0.894531
1712 0.307959 0.910156
1713 0.293489 0.90625
1714 0.261421 0.90625
1715 0.368754 0.886719
1716 0.357505 0.890625
1717 0.36249 0.886719
1718 0.314368 0.90625
1719 0.301743 0.902344
1720 0.345243 0.886719
1721 0.468049 0.871094
1722 0.322768 0.90625
1723 0.395802 0.878906
1724 0.239016 0.929688
1725 0.423 0.878906
1726 0.322537 0.902344
1727 0.360902 0.875
1728 0.310481 0.90625
1729 0.392054 0.894531
1730 0.395901 0.875
1731 0.394945 0.886719
1732 0.320153 0.902344
1733 0.312049 0.894531
1734 0.263256 0.917969
1735 0.244277 0.917969
1736 0.263658 0.925781
1737 0.430254 0.875
1738 0.315352 0.902344
1739 0.300546 0.890625
1740 0.327023 0.902344
1741 0.261241 0.929688
1742 0.404668 0.894531
1743 0.309785 0.910156
1744 0.373496 0.878906
1745 0.29391 0.886719
1746 0.435944 0.859375
1747 0.353013 0.898438
1748 0.409902 0.882812
1749 0.302033 0.921875
1750 0.319518 0.910156
1751 0.313189 0.898438
1752 0.341055 0.890625
1753 0.343032 0.882812
1754 0.344418 0.898438
1755 0.335306 0.90625
1756 0.302903 0.910156
1757 0.29313 0.917969
1758 0.334248 0.910156
1759 0.379274 0.882812
1760 0.225006 0.933594
1761 0.291254 0.910156
1762 0.243954 0.933594
1763 0.279372 0.925781
1764 0.25429 0.914062
1765 0.340509 0.894531
1766 0.302385 0.921875
1767 0.312129 0.902344
1768 0.36061 0.894531
1769 0.347593 0.894531
1770 0.3783 0.886719
1771 0.28715 0.910156
1772 0.451319 0.855469
1773 0.360329 0.882812
1774 0.312873 0.902344
1775 0.297566 0.917969
1776 0.407979 0.867188
1777 0.273212 0.917969
1778 0.276283 0.898438
1779 0.328708 0.898438
1780 0.275152 0.90625
1781 0.332549 0.902344
1782 0.260837 0.914062
1783 0.376386 0.882812
1784 0.282443 0.921875
1785 0.360288 0.878906
1786 0.393152 0.890625
1787 0.315738 0.902344
1788 0.439212 0.867188
1789 0.371777 0.898438
1790 0.388973 0.878906
1791 0.319542 0.878906
1792 0.292584 0.917969
1793 0.295165 0.902344
1794 0.364736 0.894531
1795 0.400631 0.886719
1796 0.307269 0.914062
1797 0.336441 0.902344
1798 0.317346 0.898438
1799 0.299771 0.914062
1800 0.36894 0.882812
1801 0.272405 0.929688
1802 0.412594 0.871094
1803 0.239044 0.925781
1804 0.33457 0.902344
1805 0.322877 0.886719
1806 0.362176 0.886719
1807 0.310858 0.902344
1808 0.3244 0.90625
1809 0.241082 0.925781
1810 0.344411 0.898438
1811 0.22355 0.9375
1812 0.31118 0.921875
1813 0.386419 0.871094
1814 0.241652 0.933594
1815 0.336111 0.882812
1816 0.232887 0.917969
1817 0.285861 0.914062
1818 0.370791 0.894531
1819 0.303183 0.898438
1820 0.30831 0.898438
1821 0.24539 0.925781
1822 0.2885 0.910156
1823 0.348656 0.898438
1824 0.302499 0.902344
1825 0.274006 0.914062
1826 0.376801 0.890625
1827 0.270453 0.925781
1828 0.353306 0.894531
1829 0.357628 0.871094
1830 0.296951 0.914062
1831 0.317519 0.894531
1832 0.409981 0.871094
1833 0.365414 0.898438
1834 0.272977 0.902344
1835 0.293831 0.917969
1836 0.351931 0.90625
1837 0.410039 0.875
1838 0.322574 0.90625
1839 0.264511 0.914062
1840 0.364709 0.859375
1841 0.344731 0.910156
1842 0.296405 0.902344
1843 0.300383 0.90625
1844 0.287377 0.910156
1845 0.332117 0.910156
1846 0.364763 0.898438
1847 0.358637 0.890625
1848 0.28905 0.914062
1849 0.383784 0.871094
1850 0.280423 0.90625
1851 0.284572 0.910156
1852 0.387513 0.890625
1853 0.216957 0.949219
1854 0.359937 0.914062
1855 0.404299 0.875
1856 0.389867 0.886719
1857 0.296732 0.921875
1858 0.220502 0.929688
1859 0.277285 0.929688
1860 0.368198 0.894531
1861 0.302022 0.917969
1862 0.376634 0.886719
1863 0.305768 0.917969
1864 0.203069 0.941406
1865 0.250968 0.929688
1866 0.33869 0.90625
1867 0.347792 0.910156
1868 0.349627 0.890625
1869 0.31174 0.898438
1870 0.311393 0.902344
1871 0.328199 0.914062
1872 0.300942 0.898438
1873 0.278261 0.914062
1874 0.293382 0.917969
1875 0.287221 0.902344
1876 0.331083 0.890625
1877 0.30683 0.902344
1878 0.320015 0.894531
1879 0.265402 0.910156
1880 0.316168 0.878906
1881 0.348636 0.90625
1882 0.339785 0.90625
1883 0.387257 0.882812
1884 0.366663 0.902344
1885 0.400529 0.886719
1886 0.221795 0.9375
1887 0.298855 0.90625
1888 0.276512 0.910156
1889 0.293933 0.902344
1890 0.275832 0.925781
1891 0.234175 0.933594
1892 0.372952 0.875
1893 0.283267 0.90625
1894 0.214889 0.929688
1895 0.404095 0.878906
1896 0.251815 0.925781
1897 0.341939 0.894531
1898 0.34022 0.910156
1899 0.299613 0.910156
1900 0.376207 0.886719
1901 0.325791 0.894531
1902 0.268793 0.910156
1903 0.314264 0.910156
1904 0.248487 0.914062
1905 0.445375 0.878906
1906 0.281653 0.902344
1907 0.316321 0.902344
1908 0.414263 0.902344
1909 0.271862 0.90625
1910 0.332866 0.898438
1911 0.280828 0.929688
1912 0.277771 0.921875
1913 0.36409 0.90625
1914 0.41367 0.878906
1915 0.249669 0.929688
1916 0.3056 0.910156
1917 0.273439 0.910156
1918 0.293711 0.90625
1919 0.275524 0.921875
1920 0.215235 0.945312
1921 0.289488 0.902344
1922 0.286165 0.925781
1923 0.234173 0.933594
1924 0.329794 0.914062
1925 0.197091 0.945312
1926 0.266259 0.914062
1927 0.228841 0.9375
1928 0.235651 0.929688
1929 0.269207 0.925781
1930 0.26957 0.933594
1931 0.260344 0.929688
1932 0.270288 0.90625
1933 0.26107 0.929688
1934 0.284277 0.882812
1935 0.314792 0.902344
1936 0.291056 0.902344
1937 0.388503 0.882812
1938 0.217486 0.941406
1939 0.255854 0.90625
1940 0.315244 0.90625
1941 0.270012 0.929688
1942 0.300819 0.902344
1943 0.336683 0.898438
1944 0.206951 0.953125
1945 0.284513 0.910156
1946 0.288753 0.925781
1947 0.295244 0.910156
1948 0.328647 0.894531
1949 0.247483 0.921875
1950 0.423555 0.875
1951 0.332254 0.898438
1952 0.369851 0.914062
1953 0.346168 0.886719
1954 0.294286 0.917969
1955 0.400736 0.886719
1956 0.39962 0.851562
1957 0.382428 0.890625
1958 0.299266 0.902344
1959 0.314494 0.898438
1960 0.407014 0.886719
1961 0.323402 0.910156
1962 0.248823 0.941406
1963 0.354906 0.890625
1964 0.307794 0.898438
1965 0.308992 0.910156
1966 0.350835 0.902344
1967 0.306909 0.902344
1968 0.364747 0.894531
1969 0.221286 0.9375
1970 0.269298 0.914062
1971 0.318613 0.90625
1972 0.319589 0.910156
1973 0.321846 0.910156
1974 0.403194 0.878906
1975 0.269829 0.921875
1976 0.293275 0.917969
1977 0.279659 0.902344
1978 0.396849 0.886719
1979 0.318174 0.902344
1980 0.302412 0.894531
1981 0.296578 0.90625
1982 0.234386 0.925781
1983 0.358064 0.886719
1984 0.232271 0.925781
1985 0.267305 0.902344
1986 0.325173 0.90625
1987 0.227907 0.921875
1988 0.29488 0.90625
1989 0.26416 0.917969
1990 0.321279 0.90625
1991 0.170025 0.945312
1992 0.175696 0.9375
1993 0.377319 0.890625
1994 0.310151 0.902344
1995 0.362665 0.878906
1996 0.31604 0.914062
1997 0.333088 0.914062
1998 0.386285 0.886719
1999 0.327974 0.886719
