step training_loss training_accuracy
266 0.893861 0.703125
267 0.825715 0.722656
268 0.851123 0.707031
269 0.771013 0.726562
270 0.866533 0.734375
271 0.82333 0.734375
272 1.00336 0.710938
273 0.968196 0.683594
274 0.806848 0.738281
275 0.802221 0.738281
276 0.811099 0.714844
277 0.721148 0.796875
278 0.824722 0.722656
279 0.793767 0.734375
280 0.950228 0.703125
281 0.930809 0.6875
282 0.764971 0.761719
283 0.782179 0.78125
284 0.845952 0.730469
285 0.784752 0.746094
286 0.758233 0.789062
287 0.749146 0.785156
288 0.799242 0.757812
289 0.843133 0.753906
290 0.902823 0.75
291 0.888162 0.683594
292 0.841313 0.742188
293 0.774877 0.765625
294 0.953495 0.703125
295 0.745592 0.753906
296 0.774092 0.761719
297 0.919056 0.691406
298 0.76078 0.753906
299 0.904045 0.679688
300 0.885648 0.703125
301 0.790322 0.71875
302 0.778749 0.746094
303 0.805969 0.722656
304 0.785209 0.738281
305 0.735981 0.777344
306 0.767907 0.75
307 0.694739 0.769531
308 0.823 0.71875
309 0.841187 0.722656
310 0.916477 0.699219
311 0.748392 0.738281
312 0.799408 0.734375
313 0.890375 0.703125
314 0.780326 0.71875
315 0.905423 0.679688
316 0.76677 0.777344
317 0.930727 0.667969
318 0.700473 0.769531
319 0.753971 0.757812
320 0.853735 0.753906
321 0.830273 0.730469
322 0.866379 0.71875
323 0.795332 0.722656
324 0.746846 0.789062
325 0.819439 0.734375
326 0.761973 0.753906
327 0.813619 0.710938
328 0.861457 0.730469
329 0.817638 0.742188
330 0.75798 0.78125
331 0.79735 0.734375
332 0.716652 0.769531
333 0.831127 0.738281
334 0.681591 0.792969
335 0.868693 0.71875
336 0.685447 0.792969
337 0.764087 0.773438
338 0.851339 0.746094
339 0.781999 0.742188
340 0.775557 0.734375
341 0.693645 0.789062
342 0.749951 0.734375
343 0.791892 0.742188
344 0.714617 0.769531
345 0.765565 0.753906
346 0.762262 0.769531
347 0.673398 0.816406
348 0.703366 0.765625
349 0.637367 0.792969
350 0.824305 0.730469
351 0.760922 0.796875
352 0.802864 0.714844
353 0.709337 0.773438
354 0.676429 0.789062
355 0.782506 0.765625
356 0.578958 0.816406
357 0.818658 0.703125
358 0.729762 0.761719
359 0.796373 0.730469
360 0.791122 0.699219
361 0.74392 0.761719
362 0.754454 0.773438
363 0.756805 0.78125
364 0.734406 0.777344
365 0.827892 0.753906
366 0.725942 0.757812
367 0.811289 0.734375
368 0.755026 0.746094
369 0.667961 0.804688
370 0.724033 0.773438
371 0.706076 0.777344
372 0.756015 0.777344
373 0.843434 0.722656
374 0.732984 0.769531
375 0.693621 0.75
376 0.713719 0.773438
377 0.759768 0.773438
378 0.656165 0.804688
379 0.675894 0.789062
380 0.742942 0.738281
381 0.639248 0.800781
382 0.734863 0.769531
383 0.689988 0.792969
384 0.74974 0.753906
385 0.808358 0.753906
386 0.655864 0.792969
387 0.672924 0.78125
388 0.680182 0.777344
389 0.672605 0.746094
390 0.753921 0.742188
391 0.675491 0.796875
392 0.66052 0.769531
393 0.600544 0.804688
394 0.730554 0.738281
395 0.766006 0.742188
396 0.696837 0.773438
397 0.665576 0.78125
398 0.689185 0.804688
399 0.586884 0.808594
400 0.744441 0.742188
401 0.676348 0.808594
402 0.525285 0.839844
403 0.637241 0.804688
404 0.791401 0.753906
405 0.677835 0.765625
406 0.657463 0.792969
407 0.690732 0.789062
408 0.670973 0.78125
409 0.668952 0.789062
410 0.676948 0.757812
411 0.723954 0.761719
412 0.630111 0.773438
413 0.735599 0.757812
414 0.663694 0.78125
415 0.533013 0.839844
416 0.65319 0.804688
417 0.709533 0.769531
418 0.711394 0.757812
419 0.523777 0.851562
420 0.747675 0.773438
421 0.767536 0.773438
422 0.674275 0.777344
423 0.771743 0.753906
424 0.775334 0.722656
425 0.638022 0.777344
426 0.724637 0.742188
427 0.584111 0.800781
428 0.563473 0.820312
429 0.658215 0.792969
430 0.63487 0.789062
431 0.701021 0.777344
432 0.702142 0.765625
